d	a	Average Memory Utilization	 Average Search Time	 Strategy
1	0.1	86.77349923	170.72821	0
1	0.2	86.74684764	159.53325	0
1	0.3	86.62994668	150.98025	0
1	0.5	86.46720669	132.22868	0
1	10	82.57273527	7.94193	0
1	20	80.86272555	4.58541	0
1	30	78.34239565	3.42663	0
1	0.1	90.30371263	220.97222	2
1	0.2	90.1575207	210.24343	2
1	0.3	89.99666014	198.37301	2
1	0.5	89.84410521	174.7189	2
1	10	83.46214204	11.13756	2
1	20	81.5475765	6.55465	2
1	30	78.1598818	4.94352	2
10	0.1	79.15386917	17.05971	0
10	0.2	79.08924521	16.92964	0
10	0.3	79.06556684	16.79197	0
10	0.5	79.01454313	16.63026	0
10	10	76.46389965	8.98493	0
10	20	74.4980348	5.15763	0
10	30	73.01134804	3.59956	0
10	0.1	81.09953862	24.07462	2
10	0.2	80.99824936	23.92748	2
10	0.3	80.97135169	23.69899	2
10	0.5	80.99287475	23.49543	2
10	10	78.36190731	12.74638	2
10	20	75.87953836	7.36593	2
10	30	73.80131658	5.18773	2
30	0.1	70.54038614	5.94555	0
30	0.2	70.648557	5.94996	0
30	0.3	70.5394483	5.93772	0
30	0.5	70.42088554	5.91185	0
30	10	68.94672997	5.0258	0
30	20	67.49304784	4.23116	0
30	30	66.23391199	3.6084	0
30	0.1	71.98492807	8.46317	2
30	0.2	71.91179008	8.46779	2
30	0.3	71.84640415	8.47473	2
30	0.5	71.84528907	8.43836	2
30	10	70.41267401	7.16743	2
30	20	68.55784097	6.01496	2
30	30	66.763574	5.14199	2
